"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"1015","8M72832",2451,2451,"m",28,1,"Indre-Kvarøy",2010,2012,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"28 2010","8M72832",19.09,33,3.49650756146648,2.94916463773766,0.510825623765993
"1016","8M72848",2452,2452,"f",28,1,"Indre-Kvarøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2010","8M72848",18.955,30.3833333333333,3.41389421245656,2.9420677489683,0.405465108108164
"1017","8M72867",2459,2459,"f",28,1,"Indre-Kvarøy",2010,2012,0,4,2,0.577350269189626,1,3,1.33333333333333,2.25,"28 2010","8M72867",20.525,32.3166666666667,3.47558309302055,3.02164365533849,0.810930216216329
"1018","8M72877",2460,2460,"f",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72877",19.58,33.25,3.50405476710186,2.97450863710236,0.405465108108164
"1019","8M72881",2463,2463,"m",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72881",20.04,32.1666666666667,3.47093071967683,2.99773027621666,0.405465108108164
"1020","8M72882",2464,2464,"f",26,1,"Gjerøy",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2010","8M72882",17.6033333333333,31.8,3.45946628978613,2.86808827805073,0.405465108108164
"1021","8M72897",2470,2470,"m",28,1,"Indre-Kvarøy",2010,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2010","8M72897",19.91,33.15,3.50104271663187,2.9912221180761,0.693147180559945
"1022","8M72909",2475,2475,"f",27,1,"Hestmannøy",2010,2010,0,2,2,1,1,1,2,1,"27 2010","8M72909",19.68,42.5,3.74950407593037,2.97960289162411,0
"1023","8M72914",2477,2477,"f",27,1,"Hestmannøy",2010,2012,0,1,1,1,1,2,0.5,1,"27 2010","8M72914",20.36,31.6,3.45315712059287,3.01357219168232,0
"1024","8M72928",2481,2481,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72928",20.4666666666667,30.8,3.42751468997953,3.01879754648499,0
"1025","8M72929",2482,2482,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72929",19.6,29.4,3.38099467434464,2.97552956623647,0
